Worker Name,Total Transactions,Plants Deposited Types,Plants Taken Types,Boxes Deposited Types,Boxes Taken Types,Money Deposits Count,Money Withdrawals Count,Misc Items Types
"Ale Beckham",19,3,3,0,0,0,0,3
"Bartholomeu Dias",9,0,0,0,1,0,5,1
"Biel Silva",4,1,2,0,0,0,0,1
"Bonnie Bennett",1,0,0,0,0,0,1,0
"Cherokee Bill",8,2,2,1,1,0,0,0
"Chris Rubble",58,3,3,0,2,1,0,1
"Cliff Dillimore",3,0,0,0,0,1,2,0
"Florencio Laffon",3,0,1,0,0,0,0,2
"Izzynha Evans",1,0,0,0,0,0,0,1
"Jizar Stoffeliz",142,13,4,2,2,3,0,0
"John Weslley",27,1,1,0,0,0,0,1
"Johnny Rocks",85,2,5,1,2,1,0,0
"Jubiscleia Gilbert",4,0,0,0,1,0,0,1
"Lenore Bianchi Bowdin",1,0,0,1,0,0,0,0
"Mixel Laffon",2,0,1,0,0,0,0,1
"Nathy Miller",41,4,3,0,0,0,0,3
"Nelio Tavares",27,2,2,0,0,0,0,2
"Nina Vatore",6,1,0,0,0,0,0,2
"Quase Nada",2,0,0,0,0,0,0,1
"Santiago Bowdin",21,3,3,1,1,0,1,2
"Sasa Pietra",10,2,2,0,0,0,0,3
"Smith Ramirez",3,0,0,0,1,1,0,0
"Sofia Lua",3,1,1,0,0,0,0,1
"Souzz Ramirez",47,2,4,1,2,1,0,3
"Thomas Shelby",5,0,1,0,0,0,0,3
"Thony Gustav",77,2,4,1,2,3,3,3
"Vitorn Stoffeliz",1,0,0,0,0,0,0,0
